PubGeoLocationUId,GeoLocationUId,PubUId
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
10,10,9
11,11,10
12,12,11
13,13,12
14,10,13
15,14,14
16,15,15
17,16,20
18,10,21
19,17,22
20,18,23
21,19,27
22,4,28
23,20,29
24,21,30
25,22,31
26,23,32
27,24,33
28,25,34
29,26,35
30,27,35
31,28,35
32,29,36
33,30,37
34,31,37
35,32,38
36,33,39
37,34,40
38,11,41
39,35,42
40,36,43
41,37,44
42,38,45
43,39,46
44,9,47
45,40,47
46,41,47
47,18,47
48,42,48
49,43,49
50,44,50
51,45,51
52,10,52
53,46,53
54,47,54
55,48,55
56,49,56
57,10,57
58,50,58
59,51,58
60,40,59
61,52,60
62,13,61
63,47,61
64,53,61
65,54,61
66,39,61
67,55,61
68,56,61
69,39,62
70,57,63
71,58,64
72,22,65
73,59,65
74,60,65
75,61,65
76,62,65
77,63,65
78,64,65
79,65,65
