PubStatMethodUId,StatisticalMethodUId,PubUId
1,1,1
2,2,2
3,3,4
4,4,5
5,5,6
6,6,9
7,7,10
8,8,11
9,9,13
10,10,13
11,11,13
12,9,14
13,10,14
14,1,15
15,12,15
16,13,20
17,14,20
18,9,21
19,16,23
20,15,22
21,6,27
22,16,28
23,16,29
24,16,30
25,9,31
26,17,32
27,18,33
28,19,33
29,16,35
30,20,36
31,21,37
32,16,38
33,9,39
34,16,40
35,22,41
36,16,42
37,23,44
38,16,45
39,16,46
40,23,47
41,21,48
42,20,49
43,18,49
44,22,50
45,22,51
46,16,52
47,22,53
48,24,54
49,25,55
50,26,55
51,9,57
52,27,58
53,16,59
54,28,60
55,22,61
56,22,62
57,20,63
58,8,64
59,29,65
