StudyPeriodUId,PubUId,StartYear,StartMonth,EndYear,EndMonth,Comments
1,1,2001,1,2008,12,NULL
2,2,2000,1,2001,12,NULL
3,3,2003,1,2011,12,NULL
4,4,1978,1,2000,12,NULL
5,5,2001,1,2009,12,NULL
6,6,2007,1,2008,12,NULL
8,9,2004,1,2011,12,NULL
9,10,2005,1,2005,12,NULL
10,11,1990,1,1996,12,NULL
11,12,2016,11,2016,11,NULL
12,13,2004,1,2011,12,NULL
13,14,2005,1,2012,12,NULL
14,15,2003,1,2003,12,NULL
15,21,1997,1,2002,12,NULL
16,22,1992,4,2002,3,NULL
17,23,1987,1,1992,12,NULL
18,27,1995,1,1997,12,NULL
19,28,2001,1,2004,12,NULL
20,29,1994,1,1995,12,NULL
21,30,1984,5,1992,9,NULL
22,31,2002,1,2002,12,NULL
23,32,1995,1,1998,12,NULL
24,33,2001,6,2003,5,NULL
25,35,1991,7,1996,6,NULL
26,36,2002,1,2009,12,NULL
27,37,1996,1,2000,12,NULL
28,38,2004,1,2005,12,NULL
29,39,1995,1,1998,12,NULL
30,40,1987,1,1994,12,NULL
31,41,2002,9,2003,8,NULL
32,42,1994,1,2005,12,NULL
33,43,1998,1,2010,5,NULL
34,44,1997,7,1998,12,NULL
35,45,1992,11,1994,9,NULL
36,46,1990,1,1994,12,NULL
37,47,1986,1,1992,12,NULL
38,48,2010,1,2010,12,NULL
39,49,2006,1,2009,12,NULL
40,50,1996,1,2003,12,NULL
41,51,1996,1,2003,12,NULL
42,52,1994,1,1995,12,NULL
43,53,2000,1,2005,12,NULL
44,54,1987,1,1994,12,NULL
45,55,1981,1,1993,12,NULL
46,56,1987,1,1998,12,NULL
47,57,2000,1,2005,12,NULL
48,58,1977,1,1989,12,NULL
49,59,1985,1,1989,12,NULL
50,60,1999,1,2006,12,April to August
51,61,1998,1,2001,12,NULL
52,62,1997,1,2001,12,NULL
53,64,1993,1,2004,12,NULL
54,65,2003,1,2008,12,
